cmc_rank,name,symbol,market_pair_count,circulating_supply,total_supply,max_supply,is_active,last_updated,date_added,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,fully_dillutted_market_cap,market_cap_by_total_supply,dominance,ytd_price_change_percentage
1,Bitcoin,USD,10442,19476306.0,19476306.0,21000000.0,True,2023-09-04 14:57:00+00:00,2010-07-13 00:00:00+00:00,25846.14465462699,9905321449.39115,503387422213.7796,-0.15161815,-0.28643868,-1.01107533,-11.01457193,-14.24342478,-0.60234263,542769037747.17,503387422213.7796,48.3538,55.4648
2,Ethereum,USD,7329,120217696.23312505,120217696.23312505,inf,True,2023-09-04 14:57:00+00:00,2015-08-07 00:00:00+00:00,1629.3691414334437,3448459516.29479,195879004496.47348,-0.23139342,-0.39429588,-1.16701354,-11.13974975,-13.16808931,-11.29780011,195879004496.47,195879004496.47348,18.8155,35.6717
3,Tether USDt,USD,61319,82900167311.56065,85437198727.27763,inf,True,2023-09-04 14:57:00+00:00,2015-02-25 00:00:00+00:00,0.99965502211163,17007833055.81452,82871568586.89598,-0.01871015,-0.02066289,0.01140026,0.06820058,-0.04002988,-0.04101899,85407724782.87,85407724782.87244,7.9604,-0.0037
4,BNB,USD,1605,153849960.64085028,153849960.64085028,inf,True,2023-09-04 14:57:00+00:00,2017-07-25 00:00:00+00:00,215.4949113367149,346903472.72260594,33153883627.457108,-0.17772864,0.47933878,-1.31726938,-10.89059017,-8.87835451,-22.72814466,33153883627.46,33153883627.457108,3.1847,-11.732
5,XRP,USD,1061,52977697600.0,99988458761.0,100000000000.0,True,2023-09-04 14:57:00+00:00,2013-08-04 00:00:00+00:00,0.5024069181915768,817941261.9629539,26616361784.10129,-0.10206208,0.1563712,-3.18200423,-19.95519305,7.95243155,-1.8448534,50240691819.16,50234893420.83958,2.5567,48.3061
6,USD Coin,USD,13941,26132208548.27188,26132208548.27188,inf,True,2023-09-04 14:57:00+00:00,2018-10-08 00:00:00+00:00,1.0001048652602764,2128520865.402696,26134948909.12289,0.00225163,0.01094012,-0.01236427,0.00690662,0.01744503,0.02022884,26134948909.12,26134948909.12289,2.5104,0.0112
7,Cardano,USD,923,35077943561.27,36137410585.885,45000000000.0,True,2023-09-04 14:57:00+00:00,2017-10-01 00:00:00+00:00,0.2561813808931787,97283981.90006888,8986316020.419138,-0.24140247,0.68302247,-3.01741393,-12.24369868,-8.16043797,-26.71111765,11528162140.19,9257731745.795795,0.8631,2.5667
8,Dogecoin,USD,774,140869826383.70523,140869826383.70523,inf,True,2023-09-04 14:57:00+00:00,2013-12-15 00:00:00+00:00,0.0631598636834031,181104976.03200448,8897319031.499495,-0.20330293,-0.25133093,0.46874283,-17.59822215,-3.34331503,-7.44100788,8897319031.5,8897319031.499495,0.8545,-10.0603
9,Solana,USD,501,408700602.9598597,556523691.9098397,inf,True,2023-09-04 14:57:00+00:00,2020-04-10 00:00:00+00:00,19.48653799086216,206624364.47606623,7964159826.465576,-0.42527836,0.57825968,-5.1746701,-14.37031672,1.3635542,-2.44314129,10844720065.22,10844720065.215958,0.7649,95.2134
10,TRON,USD,832,89296077374.77684,89296171716.78827,inf,True,2023-09-04 14:57:00+00:00,2017-09-13 00:00:00+00:00,0.0770305258541404,131602851.72133575,6878523796.891072,0.02344461,0.19209036,-0.26676391,-0.44300167,-0.2796875,-1.49860168,6878531064.11,6878531064.105824,0.6607,40.5162
